0,1,1516.09,246.69,428.98,555.32,0.86,-1,-1,-1
1,1,1513.33,244.37,432.95,560.72,0.87,-1,-1,-1
2,1,1512.72,243.29,435.97,565.09,0.87,-1,-1,-1
3,1,1510.22,244.16,434.84,564.19,0.87,-1,-1,-1
4,1,1509.40,243.51,434.46,564.40,0.87,-1,-1,-1
5,1,1510.91,243.62,434.00,564.40,0.87,-1,-1,-1
6,1,1510.67,243.21,431.76,562.64,0.88,-1,-1,-1
7,1,1512.28,245.07,429.42,560.60,0.89,-1,-1,-1
8,1,1510.55,243.63,429.62,562.27,0.89,-1,-1,-1
9,1,1510.74,243.70,428.70,562.89,0.89,-1,-1,-1
10,1,1510.78,241.94,429.66,566.09,0.89,-1,-1,-1
11,1,1511.19,242.77,427.48,564.90,0.89,-1,-1,-1
12,1,1512.26,243.40,426.05,564.42,0.89,-1,-1,-1
13,1,1510.95,242.90,425.44,565.26,0.89,-1,-1,-1
14,1,1511.16,243.16,423.82,564.53,0.89,-1,-1,-1
15,1,1512.88,244.73,419.99,560.71,0.89,-1,-1,-1
16,1,1513.28,245.18,419.07,560.88,0.90,-1,-1,-1
17,1,1512.55,245.49,417.58,559.93,0.89,-1,-1,-1
18,1,1511.55,243.54,418.50,562.52,0.89,-1,-1,-1
19,1,1512.33,243.10,417.76,562.92,0.90,-1,-1,-1
20,1,1514.19,245.58,414.96,560.13,0.90,-1,-1,-1
21,1,1514.94,246.22,413.27,559.07,0.91,-1,-1,-1
22,1,1515.21,245.58,414.44,561.62,0.90,-1,-1,-1
23,1,1514.51,244.15,414.75,562.59,0.89,-1,-1,-1
24,1,1514.18,245.52,415.60,564.57,0.89,-1,-1,-1
25,1,1514.72,245.30,414.60,564.29,0.89,-1,-1,-1
26,1,1516.74,245.95,413.55,562.85,0.89,-1,-1,-1
27,1,1517.51,245.75,412.55,560.68,0.89,-1,-1,-1
28,1,1519.51,246.84,412.29,559.28,0.90,-1,-1,-1
29,1,1519.79,248.87,411.94,557.43,0.90,-1,-1,-1
30,1,1521.39,252.27,411.74,556.46,0.90,-1,-1,-1
31,1,1522.32,253.38,413.35,558.31,0.90,-1,-1,-1
32,1,1521.03,258.17,411.33,554.92,0.90,-1,-1,-1
33,1,1519.04,258.33,411.77,555.27,0.90,-1,-1,-1
34,1,1518.50,259.96,409.16,550.87,0.91,-1,-1,-1
35,1,1516.24,261.42,409.33,549.82,0.90,-1,-1,-1
36,1,1515.47,261.18,409.86,551.08,0.89,-1,-1,-1
37,1,1511.11,263.26,408.83,549.97,0.89,-1,-1,-1
38,1,1508.39,266.05,408.29,548.41,0.89,-1,-1,-1
39,1,1502.64,270.74,405.83,542.70,0.90,-1,-1,-1
40,1,1494.10,269.20,408.33,544.43,0.90,-1,-1,-1
41,1,1490.58,273.71,408.28,540.56,0.90,-1,-1,-1
42,1,1485.28,271.52,412.29,542.09,0.90,-1,-1,-1
43,1,1479.34,266.24,420.12,549.18,0.90,-1,-1,-1
44,1,1463.81,266.27,424.11,552.45,0.90,-1,-1,-1
45,1,1452.05,267.28,428.19,555.89,0.90,-1,-1,-1
46,1,1444.78,269.54,427.48,554.41,0.89,-1,-1,-1
47,1,1435.99,272.14,426.13,551.47,0.90,-1,-1,-1
48,1,1429.74,272.07,428.34,554.02,0.90,-1,-1,-1
49,1,1427.23,274.06,428.70,555.86,0.90,-1,-1,-1
50,1,1421.91,272.14,432.11,562.10,0.91,-1,-1,-1
51,1,1416.23,267.45,433.49,566.63,0.92,-1,-1,-1
52,1,1410.58,260.98,436.10,574.14,0.93,-1,-1,-1
53,1,1405.84,258.52,433.90,576.36,0.90,-1,-1,-1
54,1,1404.70,257.46,429.16,575.52,0.91,-1,-1,-1
55,1,1403.28,255.19,426.21,577.31,0.91,-1,-1,-1
56,1,1399.91,251.15,425.24,582.60,0.91,-1,-1,-1
57,1,1396.96,251.70,421.56,584.53,0.91,-1,-1,-1
58,1,1394.88,250.50,418.89,588.11,0.91,-1,-1,-1
59,1,1390.06,249.65,416.95,593.32,0.90,-1,-1,-1
59,2,1216.68,120.55,167.88,416.08,0.72,-1,-1,-1
60,1,1388.60,253.88,413.44,596.53,0.90,-1,-1,-1
60,2,1218.59,122.95,167.60,414.90,0.79,-1,-1,-1
61,1,1383.66,252.32,414.23,606.98,0.91,-1,-1,-1
61,2,1227.00,120.39,168.58,416.15,0.72,-1,-1,-1
62,1,1379.11,250.88,412.03,613.17,0.91,-1,-1,-1
62,2,1226.38,116.53,171.27,420.89,0.70,-1,-1,-1
63,1,1371.47,251.51,409.37,617.74,0.90,-1,-1,-1
63,2,1224.65,118.24,169.73,414.37,0.67,-1,-1,-1
64,1,1359.97,253.82,407.26,621.09,0.92,-1,-1,-1
64,2,1235.06,119.31,169.50,409.73,0.82,-1,-1,-1
65,1,1342.19,254.28,408.00,625.28,0.92,-1,-1,-1
65,2,1233.79,115.14,175.36,420.45,0.84,-1,-1,-1
66,1,1327.28,258.10,408.69,628.34,0.92,-1,-1,-1
66,2,1236.58,123.40,177.95,422.08,0.87,-1,-1,-1
67,1,1317.74,256.80,411.36,634.46,0.91,-1,-1,-1
67,2,1238.23,126.52,182.20,426.55,0.88,-1,-1,-1
68,1,1309.33,259.94,410.86,635.64,0.91,-1,-1,-1
68,2,1238.65,126.54,187.46,431.65,0.88,-1,-1,-1
69,1,1297.29,258.51,413.75,644.10,0.91,-1,-1,-1
69,2,1235.87,129.98,190.32,430.62,0.84,-1,-1,-1
70,1,1289.31,259.84,410.60,641.81,0.90,-1,-1,-1
70,2,1243.76,133.61,193.33,429.56,0.86,-1,-1,-1
71,1,1282.88,259.32,408.62,642.07,0.90,-1,-1,-1
71,2,1249.69,131.46,196.56,430.20,0.85,-1,-1,-1
71,3,1216.76,117.75,156.71,408.13,0.73,-1,-1,-1
72,1,1279.91,256.34,406.04,642.77,0.90,-1,-1,-1
72,2,1252.78,137.01,196.96,422.22,0.79,-1,-1,-1
72,3,1217.26,116.58,156.81,407.86,0.80,-1,-1,-1
73,1,1276.21,254.33,403.81,645.55,0.90,-1,-1,-1
73,2,1282.57,143.81,192.87,413.21,0.78,-1,-1,-1
73,3,1217.73,115.67,159.00,412.44,0.80,-1,-1,-1
74,1,1271.28,252.70,401.24,647.95,0.89,-1,-1,-1
74,2,1281.25,142.56,201.56,423.10,0.82,-1,-1,-1
74,3,1220.27,111.61,160.17,413.71,0.78,-1,-1,-1
75,1,1263.21,250.78,401.53,655.62,0.89,-1,-1,-1
75,2,1295.62,142.48,203.95,426.00,0.83,-1,-1,-1
75,3,1224.74,111.75,162.20,416.44,0.75,-1,-1,-1
76,1,1259.49,248.17,399.98,661.19,0.88,-1,-1,-1
76,2,1309.49,143.63,205.15,429.95,0.86,-1,-1,-1
76,3,1223.85,113.12,162.60,414.50,0.80,-1,-1,-1
77,1,1257.23,248.80,394.63,662.17,0.89,-1,-1,-1
77,2,1317.15,143.13,209.59,438.14,0.87,-1,-1,-1
77,3,1224.07,113.98,161.44,408.18,0.79,-1,-1,-1
78,1,1255.50,250.24,385.55,656.57,0.90,-1,-1,-1
78,2,1319.39,143.70,210.87,438.37,0.87,-1,-1,-1
78,3,1228.66,119.83,157.93,395.75,0.86,-1,-1,-1
79,1,1250.87,249.35,378.87,654.30,0.89,-1,-1,-1
79,2,1317.49,141.45,216.18,445.47,0.88,-1,-1,-1
79,3,1228.04,123.81,159.85,397.07,0.84,-1,-1,-1
80,1,1242.45,249.91,372.61,651.60,0.90,-1,-1,-1
80,2,1321.43,140.71,217.69,444.46,0.85,-1,-1,-1
80,3,1226.70,122.65,162.67,399.57,0.84,-1,-1,-1
81,1,1231.24,252.20,364.55,642.30,0.91,-1,-1,-1
81,2,1329.13,142.87,225.17,454.94,0.84,-1,-1,-1
81,3,1227.72,121.21,164.13,399.74,0.86,-1,-1,-1
82,1,1210.04,255.44,357.11,628.10,0.90,-1,-1,-1
